id	set_id	number	type	section_id	text	option1	option2	option3	option4	points	answer	score_guide	last_modified
q11	A	11	ESSAY	sec1	"'문제 해결력 레벨 1·2·3'의 차이를 각각 한 줄로 설명하세요."	""	""	""	""	4	"- 레벨 1 (가짜 수학): 공식과 요령 암기 + 기계적 계산 반복으로 의미도 재미도 없는 수준
- 레벨 2 (AI 수준): 비슷한 유형의 문제 해결 전략을 학습하지만, 처음 보는 문제는 풀 수 없는 수준
- 레벨 3 (진짜 수학): 스스로 문제를 해결하는 능력으로, 처음 보는 문제도 해결할 수 있는 수준"	"- 완벽(4점): 3개 레벨 모두 핵심 차이를 정확히 설명
- 충분(3점): 3개 레벨 모두 언급했으나 일부 표현이 부정확
- 보통(2점): 2개 레벨만 정확히 설명
- 부족(1점): 1개 레벨만 언급하거나 전반적으로 부정확
- 오답(0점): 무응답 또는 관련 없는 내용"	2026-08-11 07:38:40
q12	A	12	MC	sec2	"깨봉수학 러닝센터의 커리큘럼에서 코어 단계에 대한 설명으로 올바른 것은?"	"코어 단계는 선택 사항이며, 실력이 우수한 원생은 어드밴스드부터 시작할 수 있다"	"코어 단계는 수학에 대한 관점과 기초 개념·원리를 깨봉식으로 구축하기 위한 필수 단계이다"	"코어 단계는 모든 원생이 동일한 레슨 수로 학습한다"	"코어 단계는 초등 저학년만 대상으로 한다"	2	"②"	""	2026-08-11 07:38:40
q13	A	13	MC	sec2	"과정 A의 전체 레슨 개수(코어+어드밴스드+엘리트)와 예상 학습 기간으로 올바른 것은?"	"약 350개 / 약 17~19개월"	"약 400개 / 약 25~28개월"	"약 500개 / 약 31~34개월"	"약 600개 / 약 36~40개월"	2	"③"	""	2026-08-11 07:38:40
q14	A	14	MC	sec2	"코어 A~C 커리큘럼의 콘텐츠 이용료 L5 상품 기준 레슨 개수로 올바른 것은?"	"12개"	"16개"	"20개"	"24개"	2	"③"	""	2026-08-11 07:38:40
q15	A	15	MC	sec2	"깨봉수학의 커리큘럼이 교과 과정과 순서가 다른 이유로 가장 적절한 것은?"	"학생의 수준에 맞춰 난이도를 조절하기 위해서"	"수학 개념 간의 자연스러운 연결 고리를 살려 하나의 개념이 다음 개념으로 이어지도록 설계했기 때문에"	"해외 교육과정을 기반으로 만들었기 때문에"	"시험 범위에 맞춰 효율적으로 학습하기 위해서"	2	"②"	""	2026-08-11 07:38:40
q16	A	16	OX	sec2	"과정 E의 예상 학습 기간은 약 17~19개월이며, 과정 A보다 레슨 개수가 적은 이유는 고학년의 사고력과 이해도를 감안해 코어 레슨이 축소되기 때문이다."	""	""	""	""	2	"O"	""	2026-08-11 07:38:40
q17	A	17	ESSAY	sec2	"진단 테스트의 구성 2가지와, 그 결과가 러닝센터 운영에서 어떻게 활용되는지 설명하세요."	""	""	""	""	4	"- 레벨 테스트: 오프라인으로 진행하며, 예비 원생의 수학 학력 수준을 측정한다.
- 수학머리 테스트: 온라인으로 진행하며, 예비 원생의 수학적 사고 역량을 측정한다.
- 활용: 두 테스트 결과를 종합하여 진단 리포트를 생성하고, 이를 근거로 예비 원생에게 적합한 과정(A~E)을 배정하며 학부모 상담을 진행한다."	"- 완벽(4점): 2가지 테스트(레벨+수학머리)의 진행 방식 차이 + 진단 리포트 생성 + 과정 배정 활용을 모두 설명
- 충분(3점): 2가지 테스트를 구분하고 과정 배정 활용을 설명
- 보통(2점): 진단 테스트를 언급했으나 2가지 구성을 명확히 구분하지 못함
- 부족(1점): 방향은 맞으나 핵심 내용 대부분 누락
- 오답(0점): 무응답 또는 관련 없는 내용"	2026-08-11 07:38:40
q18	A	18	MC	sec3	"콘텐츠 이용료 L4 상품의 가격(VAT 포함)으로 올바른 것은?"	"33,000원"	"55,000원"	"66,000원"	"44,000원"	2	"④"	""	2026-08-11 07:38:40
q19	A	19	MC	sec3	"콘텐츠 이용료에 대한 설명으로 틀린 것은?"	"결제 시 학습 기간 28일(4주)이 지급된다"	"사용하지 않은 레슨은 수강을 유지하는 동안 계속 누적된다"	"원생이 퇴원 후 재등록하면 미사용 레슨은 그대로 유지된다."	"결제된 콘텐츠의 취소·환불은 불가하다"	2	"③"	""	2026-08-11 07:38:40
q20	A	20	MC	sec3	"누적 테스트에 대한 설명으로 올바른 것은?"	"모든 과정에서 동일한 형태로 제공된다"	"출제 범위는 해당 챕터에 포함된 문제이다"	"문제 수는 10개로 고정되어 있다"	"출력된 시험지의 오프라인 테스트와 온라인 테스트를 함께 진행한다"	2	"④"	""	2026-08-11 07:38:40
q21	A	21	MC	sec3	"단원평가 특강의 진행 방식에 대한 설명으로 올바른 것은?"	"오프라인으로만 진행할 수 있다"	"온라인으로만 진행할 수 있다"	"오프라인(프린트) 또는 온라인 중 선택할 수 있다"	"원생이 자율적으로 진행하며, 원장의 개입이 필요 없다"	2	"③"	""	2026-08-11 07:38:40
q22	A	22	MC	sec3	"학습 기간이 만료된 후 예비 기간에 대한 설명으로 올바른 것은?"	"예비 기간은 3일이며, 학습 기능이 제한된다"	"예비 기간은 7일(1주)이며, 모든 학습과 기능은 정상 이용 가능하다"	"예비 기간 없이 즉시 프리뷰 모드로 전환된다"	"예비 기간은 14일이며, 일부 기능만 이용 가능하다"	2	"②"	""	2026-08-11 07:38:40
q23	A	23	MC	sec3	"코어 단계의 수업 중 부가 활동에 해당하는 것을 모두 고른 것은?"	"게임수학 플레이 + 리뷰노트 추가"	"단원평가 특강 + 온라인 테스트"	"복습 문제 풀기 + 실전 연습 문제"	"성장 알림 작성 + 학부모 상담"	2	"①"	""	2026-08-11 07:38:40
q24	A	24	OX	sec3	"누적 테스트는 코어 A~E 모든 과정에서 동일하게 제공된다."	""	""	""	""	2	"X"	""	2026-08-11 07:38:40
q25	A	25	OX	sec3	"콘텐츠 이용료 결제 후, 원생별 추가 결제는 마지막 결제 시점으로부터 28일(4주) 후에만 가능하다."	""	""	""	""	2	"X"	""	2026-08-11 07:38:40
q26	A	26	ESSAY	sec3	"콘텐츠 이용료의 학습 기간, 예비 기간, 추가 결제 시점을 각각 설명하세요."	""	""	""	""	4	"- 학습 기간: 결제 시 28일(4주) 지급
- 예비 기간: 학습 기간 만료 후 자동으로 7일(1주) 추가, 모든 기능 정상 이용 가능. 예비 기간 만료 시 프리뷰 모드 전환
- 추가 결제: 마지막 결제 시점으로부터 21일(3주) 후에만 가능"	"- 완벽(4점): 3가지 항목 모두 일수까지 정확히 서술
- 충분(3점): 3가지 항목 모두 언급, 일부 일수 부정확
- 보통(2점): 2가지 항목만 정확
- 부족(1점): 1가지 항목만 정확하거나 전반적으로 부정확
- 오답(0점): 무응답 또는 관련 없는 내용"	2026-08-11 07:38:40
q27	A	27	ESSAY	sec3	"누적 테스트에만 포함되는 수학머리 테스트의 목적과 수학적 사고 핵심 역량 3가지를 각각 설명하세요."	""	""	""	""	4	"- 목적: 원생이 학습을 진행하면서 수학적 사고 역량이 성장하고 있는지를 정기적으로 측정하기 위한 것이다. 개념·원리 이해도(필수 문제)와 별도로, 수학적으로 생각하는 힘 자체의 변화를 확인한다.
- 무시(추상화): 문제의 핵심에 집중하기 위해 불필요한 디테일을 버리는 능력
- 변화: 무엇이 얼마나 달라졌는지 발견하고 예측하는 능력
- 관계: 변화를 일으키는 요인과 변화의 결과가 무엇인지 찾아내는 능력"	"- 완벽(4점): 목적(수학적 사고 역량의 성장 측정)을 정확히 설명 + 3가지 역량(무시·변화·관계)을 모두 정확히 설명
- 충분(3점): 목적을 언급하고 3가지 역량을 모두 언급했으나 일부 설명이 부정확
- 보통(2점): 목적 또는 3가지 역량 중 한 쪽만 정확하거나, 역량 2가지만 정확
- 부족(1점): 1가지 역량만 언급하거나 목적과 역량 모두 부정확
- 오답(0점): 무응답 또는 관련 없는 내용"	2026-08-11 07:38:40
q28	A	28	MC	sec4	"LMS 사이드 메뉴 중 '설정'에 접근할 수 있는 역할은?"	"원장, 실장, 강사, 보조강사 모두"	"원장, 실장"	"원장만"	"원장, 실장, 강사"	2	"③"	""	2026-08-11 07:38:40
q29	A	29	MC	sec4	"학습사이트에서 원생이 하원 모드일 때 이용 가능한 기능으로 올바른 것은?"	"오늘 수업 진행, 도서관, 놀이터"	"로그인, 도서관, 놀이터, 마이페이지"	"로그인, 마이페이지만"	"모든 기능 정상 이용"	2	"②"	""	2026-08-11 07:38:40
q30	A	30	MC	sec4	"LMS에서 원생의 등원과 하원 처리에 대한 설명으로 올바른 것은?"	"원장이 매번 수동으로 등원/하원 처리해야 한다"	"학부모가 앱에서 등원/하원을 확인하면 처리된다"	"정해진 수업 시간이 되면 자동으로 등원 처리된다"	"원생이 센터 등록 기기로 학습사이트에 로그인하면 자동 등원, 로그아웃하면 자동 하원 처리된다"	2	"④"	""	2026-08-11 07:38:40
q31	A	31	MC	sec4	"LMS에서 레슨 완료 처리 시 유의사항으로 올바른 것은?"	"모든 수업 스텝이 완료되어야만 레슨을 완료할 수 있다"	"레슨 완료 후에도 이전 레슨으로 돌아가 수정할 수 있다"	"레슨 완료는 자동으로 처리되므로 별도 버튼 클릭이 필요 없다"	"리뷰노트를 생성한 경우 채점을 완료해야 레슨을 완료할 수 있다"	2	"④"	""	2026-08-11 07:38:40
q32	A	32	OX	sec4	"LMS에서 신규 기기를 등록할 때, 카메라가 없는 기기는 QR 코드 대신 URL을 복사해 해당 기기에서 접속하여 등록할 수 있다."	""	""	""	""	2	"O"	""	2026-08-11 07:38:40
q33	A	33	MC	sec5	"학부모가 ""성적이 빨리 안 오를 것 같아서요""라고 우려할 때, 가장 적절한 답변은?"	"깨봉수학은 단기 성적 향상을 목표로 하는 프로그램이 아닙니다"	"깨봉수학은 개념의 본질을 이해시켜 상위 개념까지 확장할 수 있는 힘을 길러주므로, 장기적으로 더 큰 성과로 이어집니다"	"다른 학원을 병행하시면 성적이 빨리 오를 겁니다"	"걱정 마세요, 한 달이면 성적이 오릅니다"	2	"②"	""	2026-08-11 07:38:40
q34	A	34	MC	sec5	"학부모가 ""수업할 때 태블릿은 꼭 필요한가요?""라고 물었을 때, 올바른 설명은?"	"태블릿은 시각화된 깨봉의 학습 영상을 시청하고, 기본 문제를 푸는 핵심 학습 도구입니다"	"태블릿은 선택 사항입니다"	"태블릿 대신 개인 스마트폰으로도 동일하게 학습할 수 있습니다"	"교재만으로도 수업 진행이 가능합니다"	2	"①"	""	2026-08-11 07:38:40
q35	A	35	MC	sec5	"학부모가 ""아이가 하원 후에도 복습할 수 있나요?""라고 물었을 때, 가장 적절한 답변은?"	"하원 후에는 학습사이트에 접속할 수 없습니다"	"별도의 복습 교재를 구매하셔야 합니다"	"가정에서는 워크북만 활용할 수 있습니다"	"하원 후에도 학습사이트에 로그인하면 도서관에서 완료한 레슨의 영상 복습과 문제 풀기가 가능합니다"	2	"④"	""	2026-08-11 07:38:40
q36	A	36	MC	sec5	"학부모가 ""과정 A~E의 학습 내용이 다른가요?""라고 물었을 때, 올바른 답변은?"	"과정이 높을수록 더 어려운 문제가 제공됩니다"	"과정이 높을수록 심화 콘텐츠가 추가됩니다"	"과정은 학부모님께서 원하시는 대로 배정됩니다"	"과정에 따라 코어 단계의 레슨 개수가 다를 뿐, 배우는 내용은 동일합니다"	2	"④"	""	2026-08-11 07:38:40
q37	A	37	MC	sec5	"학부모가 ""성장 알림은 무엇인가요?""라고 물었을 때, 올바른 설명은?"	"수업 종료 후 학습 결과를 요약(완료 레슨, 문제 정답 현황, 음성 파일 등)해서 보내드립니다"	"학기말에 발송되는 성적표입니다"	"원생이 직접 작성하는 학습 일기입니다"	"매주 자동 발송되는 주간 리포트입니다"	2	"①"	""	2026-08-11 07:38:40
q38	A	38	MC	sec5	"학부모가 ""아이가 몇 살부터 시작하는 게 좋은가요?""라고 물었을 때, 가장 적절한 안내는?"	"진단 테스트를 통해 아이에게 맞는 과정을 배정하므로, 연령보다는 아이의 현재 수준이 중요합니다"	"초등 4학년 이상만 수강 가능합니다"	"7세 미만은 수강이 불가합니다"	"학년과 관계없이 모두 과정 A부터 시작합니다"	2	"①"	""	2026-08-11 07:38:40
q39	A	39	OX	sec5	"학부모에게 ""수학 공부를 도와줄 때는 답을 알려주지 말고, '왜 어렵다고 생각해?', '어떻게 바꾸면 좀 더 쉬워질까?'라고 물어봐 주세요""라고 안내하는 것이 깨봉수학의 권장 사항이다."	""	""	""	""	2	"O"	""	2026-08-11 07:38:40
q40	A	40	OX	sec5	"깨봉수학의 커리큘럼이 교과 과정과 순서가 다르므로, 교과 과정의 수학과는 별개의 수학을 가르치는 것이다."	""	""	""	""	2	"X"	""	2026-08-11 07:38:40
q41	A	41	ESSAY	sec5	"학부모가 ""우리 아이는 수학을 너무 싫어하는데, 깨봉수학에서 달라질 수 있을까요?""라고 물었습니다. 깨봉수학의 교육 방식을 근거로 상담 답변을 작성하세요."	""	""	""	""	4	"- 시각화: 추상적인 수학 개념을 영상으로 보여주기 때문에, 수학을 싫어하는 아이도 직관적으로 이해할 수 있다.
- 아하 모먼트: ""아, 이런 거였어!""라는 깨달음의 순간을 경험하면서 수학에 대한 태도가 변한다.
- 콘텐츠+코칭: 강의식이 아닌 콘텐츠 기반 자기주도 학습이고, 코칭으로 지원하기 때문에 아이에게 부담이 적다."	"- 완벽(4점): 시각화 + 아하 모먼트 + 콘텐츠 기반/코칭 방식을 모두 언급하며 자연스러운 상담 화법
- 충분(3점): 핵심 요소 2가지 이상 언급
- 보통(2점): 핵심 요소 1가지만 언급하거나 상담 화법이 부자연스러움
- 부족(1점): 방향은 맞으나 깨봉 고유의 근거 없이 일반적 답변
- 오답(0점): 무응답 또는 관련 없는 내용"	2026-08-11 07:38:40
q42	A	42	ESSAY	sec5	"학부모가 ""아이의 챕터 테스트 점수가 낮게 나왔어요""라고 우려할 때, LMS를 활용한 대응 방안을 설명하세요."	""	""	""	""	4	"- 원인 파악: 테스트에서 틀린 문제의 개념을 파악하고, 이해도 점수에서 약점(50% 이하)으로 표시된 레슨을 확인한다.
- 복습 지정: 해당 레슨을 복습 레슨으로 지정하여 다시 학습시킨다.
- 학부모 안내: 이해도 데이터를 근거로 구체적인 보완 계획을 학부모에게 안내한다."	"- 완벽(4점): 원인 파악(이해도/약점 확인) + 복습 레슨 지정 + 학부모 상담 근거 제시를 모두 포함
- 충분(3점): 3가지 중 2가지 이상 언급
- 보통(2점): 복습 지정만 언급하거나, 구체적 시스템 활용 방안 부족
- 부족(1점): 방향은 맞으나 시스템 활용 언급 없이 일반적 답변
- 오답(0점): 무응답 또는 관련 없는 내용"	2026-08-11 07:38:40
