id	set_id	number	type	section_id	text	option1	option2	option3	option4	points	answer
q19	A	19	MC	sec3	레슨의 개념·원리 이해도 점수 산출 시, 3가지 요소의 반영 비율이 올바른 것은?	① 퀴즈 정답률 30% + 빌드업 채점 50% + 핵심 체크 20%	② 퀴즈 정답률 50% + 빌드업 채점 30% + 핵심 체크 20%	③ 퀴즈 정답률 40% + 빌드업 채점 40% + 핵심 체크 20%	④ 퀴즈 정답률 50% + 빌드업 채점 20% + 핵심 체크 30%	2	②
q20	A	20	MC	sec3	단원평가 특강에 대한 설명으로 올바른 것은?	① 코어 A~C 과정 원생만 참여할 수 있다	② 4·5·6학년 대상이며, 온라인과 오프라인 모두 가능하다	③ 매월 정기적으로 실시하며, 참여가 필수이다	④ 어드밴스드 과정 원생만 참여할 수 있다	2	②
q21	A	21	MC	sec3	콘텐츠 이용료 추가 결제가 발생하는 시점은?	① 학습 기간 종료 후 즉시	② 마지막 결제 시점으로부터 21일(3주) 후	③ 예비 기간 종료 후	④ 매월 1일 자동 결제	2	②
q22	A	22	MC	sec3	챕터 테스트가 실시되는 시점은?	① 챕터의 첫 번째 레슨 시작 전	② 챕터의 마지막 레슨 완료 후	③ 3개 챕터마다 1회	④ 원장이 수동으로 지정한 시점	2	②
q23	A	23	OX	sec3	이해도 점수에서 80% 이상은 '강점'으로, 50% 이하는 '약점'으로 표시된다.	O	X			1	O
q24	A	24	OX	sec3	결제된 콘텐츠 이용료는 학습 기간 내라면 취소 및 환불이 가능하다.	O	X			1	X
q25	A	25	ESSAY	sec3	챕터 테스트와 누적 테스트의 차이를 실시 시점과 평가 범위 측면에서 비교 설명하고, 누적 테스트의 교육적 의의를 서술하시오. (10점)					3	채점대기
q26	A	26	ESSAY	sec3	레슨의 개념·원리 이해도 점수(1~5점)가 어떤 요소로 구성되며 각 반영 비율은 얼마인지 설명하고, '강점'과 '약점'이 표시되는 기준 및 활용 방안을 서술하시오. (10점)					3	채점대기
q27	A	27	MC	sec4	LMS 사이드 메뉴에 포함되지 않는 것은?	① 원생 관리	② 깨봉몰	③ 학부모 앱	④ 자료실	2	③
q28	A	28	MC	sec4	학습사이트의 3가지 모드로 올바른 것은?	① 학습 모드 / 시험 모드 / 관리 모드	② 프리뷰 / 하원 / 등원	③ 온라인 / 오프라인 / 하이브리드	④ 기본 / 심화 / 복습	2	②
q29	A	29	MC	sec4	어드밴스드/엘리트 과정의 수업 관리에서 '원생 채점' 기능에 대한 설명으로 올바른 것은?	① 모든 과정에서 기본적으로 활성화되어 있다	② 어드밴스드/엘리트 과정에서만 ON/OFF 설정이 가능하다	③ 원장 계정에서만 설정할 수 있으며, 강사 계정에서는 불가하다	④ 한 번 설정하면 과정이 끝날 때까지 변경할 수 없다	2	②
q30	A	30	OX	sec4	성장 알림 URL은 하루에 1개만 발급되며, 유효 기간은 7일이다.	O	X			1	O
q31	A	31	MC	sec5	[입회 상담] 학부모가 "우리 아이는 연산이 느린데, 깨봉에서 연산 훈련을 많이 시켜주나요?"라고 물었을 때, 가장 적절한 답변은?	① "네, 반복 연산 훈련을 집중적으로 시킵니다."	② "깨봉수학은 연산의 원리를 시각화로 이해하게 하여, 원리 이해를 바탕으로 연산 능력이 자연스럽게 향상됩니다."	③ "연산은 가정에서 별도로 훈련하셔야 합니다."	④ "연산 전문 프로그램을 병행하시는 것을 추천합니다."	2	②
q32	A	32	MC	sec5	[재원생] 학부모가 "아이 진도가 너무 느린 것 같아요"라고 우려할 때, 가장 적절한 대응은?	① "진도를 빠르게 나가도록 하루 레슨 수를 늘리겠습니다."	② "깨봉수학은 이해 중심이므로, 아이가 개념을 충분히 소화하는 것이 중요합니다. 현재 이해도 데이터를 함께 확인해 보겠습니다."	③ "다른 학원에서 선행을 병행하시면 됩니다."	④ "진도가 느린 것은 아이의 역량 문제이므로 과정을 낮추겠습니다."	2	②
q33	A	33	MC	sec5	[재원생] 학부모가 "테스트 점수가 낮게 나왔는데 어떻게 해야 하나요?"라고 물었을 때, 가장 적절한 답변은?	① "테스트 점수가 낮으면 하위 과정으로 변경해야 합니다."	② "점수보다는 틀린 문제의 개념을 다시 학습하는 것이 중요합니다. 복습 레슨을 지정하여 약점을 보완하겠습니다."	③ "가정에서 추가 문제집을 풀리시면 점수가 오릅니다."	④ "테스트는 참고용이니 신경 쓰지 않으셔도 됩니다."	2	②
q34	A	34	MC	sec5	[재원생] 학부모가 "포인트(QP)는 뭔가요?"라고 물었을 때, 올바른 설명은?	① QP는 출석 횟수에 따라 적립되는 포인트이다	② QP는 레슨 학습 활동을 통해 획득하며, 1회 레슨 최대 300 QP를 받을 수 있다	③ QP는 시험 점수에 따라 차등 지급되는 보상 포인트이다	④ QP는 교재 구매 시 사용할 수 있는 할인 포인트이다	2	②
q35	A	35	MC	sec5	[재원생] 학부모가 "아이 과정을 변경할 수 있나요?"라고 물었을 때, 올바른 답변은?	① "한 번 등록한 과정은 변경이 불가능합니다."	② "과정 변경이 가능합니다. 아이의 현재 학습 상태와 진단 결과를 고려하여 적합한 과정으로 변경할 수 있습니다."	③ "학기 단위로만 변경이 가능합니다."	④ "과정 변경 시 추가 등록비가 발생합니다."	2	②
q36	A	36	MC	sec5	[재원생] 학부모가 "교재비는 별도로 내야 하나요?"라고 물었을 때, 올바른 답변은?	① "교재비는 매월 별도로 청구됩니다."	② "교재 비용은 콘텐츠 사용료에 포함되어 있습니다."	③ "교재는 서점에서 별도 구매하셔야 합니다."	④ "교재비는 입회 시 1회만 납부합니다."	2	②
q37	A	37	OX	sec5	콘텐츠 이용료 레벨(L3/L4/L5)에 따라 학습 콘텐츠의 내용(난이도)이 달라진다.	O	X			1	X
q38	A	38	OX	sec5	원생의 과정 변경은 불가능하며, 변경을 원할 경우 퇴원 후 재입회해야 한다.	O	X			1	X
q39	A	39	ESSAY	sec5	[입회 상담] 학부모가 "아이가 수학을 정말 싫어하는데, 깨봉수학에 보내면 도움이 될까요?"라고 물었습니다. 깨봉수학의 교육 철학(시각화, Aha Moment)과 학습 방식(콘텐츠 기반, 코칭)을 근거로 상담 답변을 작성하시오. (10점)					3	채점대기
q40	A	40	ESSAY	sec5	[재원생] 학부모가 "아이가 집에서 수학 복습은 어떻게 하면 좋을까요?"라고 물었을 때, 깨봉수학의 학습 시스템(콘텐츠 영상, 복습 레슨, 성장 알림 등)을 활용한 구체적인 가정 학습 안내를 서술하시오. (10점)					3	채점대기
